Time,long,M,a,e,i,peri,node,mass,x,y,z,vx,vy,vz
0.0000000,1.422728E+01,2.298042E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-2.6926241384894474,-4.6491231044206334,0.0795627638174092,0.0064447518431335,-0.0034290909196864,-0.0001299635434063
10.0000000,1.422728E+01,1.733702E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-5.3976881710829083,-0.7785043333155729,0.1240127957773704,0.0009877742058343,-0.0071191054321881,0.0000074703562928
20.0000000,1.422728E+01,1.169363E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-3.8324284822689743,3.6990004111026265,0.0703888872237292,-0.0053352517854287,-0.0050778766575796,0.0001404753496075
30.0000000,1.422728E+01,6.050233E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,0.9041805496734431,5.0051995029176757,-0.0410236248573788,-0.0075234671432390,0.0017023631780092,0.0001612737623102
40.0000000,1.422728E+01,4.068386E+00,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.6851067966387188,1.5877690860697724,-0.1114297404398074,-0.0025151731841513,0.0075136352232022,0.0000250679025071
50.0000000,1.422728E+01,3.076344E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,3.7112295034044931,-3.4310005724399990,-0.0687902079710320,0.0050354651706112,0.0059061326648271,-0.0001372078957951
60.0000000,1.422728E+01,2.512005E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-0.8981062719774138,-5.2179736463495150,0.0417715723635741,0.0073526183330581,-0.0009240877298469,-0.0001606838061444
70.0000000,1.422728E+01,1.947666E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-4.8254907985828517,-2.5279485130536887,0.1184764924853109,0.0034139389680200,-0.0063341610247627,-0.0000500782676662
80.0000000,1.422728E+01,1.383326E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-4.9342347204314825,2.1849619355757048,0.1013322766597782,-0.0031478614822760,-0.0065496965575106,0.0000976441723113
90.0000000,1.422728E+01,8.189867E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-1.0515754741348415,5.0704901351683027,0.0024672304797943,-0.0074863725904700,-0.0011754927171945,0.0001723983734453
100.0000000,1.422728E+01,2.546473E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,3.6816230893623292,3.3440751612847834,-0.0962714616409297,-0.0051687696655086,0.0059514357920230,0.0000909342721403
110.0000000,1.422728E+01,3.290308E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.6916895496014801,-1.6883524449880005,-0.0979679969042504,0.0024654735118446,0.0074670561803902,-0.0000861857528633
120.0000000,1.422728E+01,2.725968E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,1.0119642820895383,-5.1034983654265842,-0.0014437724011620,0.0073177995668990,0.0018274553599790,-0.0001713346357951
130.0000000,1.422728E+01,2.161629E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-3.6730310203836973,-3.9729015834093504,0.0986913560069181,0.0054547042165041,-0.0047711806852617,-0.0001022351455792
140.0000000,1.422728E+01,1.597290E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-5.4261272250216432,0.3994762018983950,0.1197558070019996,-0.0006445794629473,-0.0071760579708425,0.0000442325471679
150.0000000,1.422728E+01,1.032950E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-2.8628243581811312,4.4268308885311525,0.0456695728351371,-0.0064325804456908,-0.0037444671864073,0.0001594902231899
160.0000000,1.422728E+01,4.686108E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,2.0988153030719765,4.5760718312882522,-0.0659722184340341,-0.0069559324936684,0.0035090514749935,0.0001410695847290
170.0000000,1.422728E+01,3.504271E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.9399405696029284,0.3160300406687215,-0.1118490950185238,-0.0005736465028880,0.0078977484854846,-0.0000199713844851
180.0000000,1.422728E+01,2.939932E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,2.7802159077596889,-4.2862192012447196,-0.0444052251833263,0.0062452532256050,0.0044698591043577,-0.0001583118668011
190.0000000,1.422728E+01,2.375593E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-2.0704903136839130,-4.9294234229943230,0.0668062431802763,0.0068725721081368,-0.0025684156638606,-0.0001431117194388
200.0000000,1.422728E+01,1.811253E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-5.2629626196241261,-1.4348525219553274,0.1237246480846073,0.0018960025663562,-0.0069305477260332,-0.0000136354674770
210.0000000,1.422728E+01,1.246914E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-4.2963806248633007,3.1951813948471122,0.0828631674055283,-0.0045970648596992,-0.0057041597821116,0.0001265592360589
220.0000000,1.422728E+01,6.825743E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,0.1956510259177422,5.1148717170602680,-0.0256251199423144,-0.0076383021883769,0.0006478977011388,0.0001682235752194
230.0000000,1.422728E+01,1.182348E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.4015114868887260,2.2695227347924796,-0.1079160117353294,-0.0035521221007438,0.0070734964359294,0.0000500990526342
240.0000000,1.422728E+01,3.153895E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.1423097699508142,-2.8473612937501471,-0.0808605198860050,0.0041865408031313,0.0065845156342300,-0.0001210303401642
250.0000000,1.422728E+01,2.589556E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-0.2062054261550439,-5.2584146633863851,0.0264575643557959,0.0074563140060019,0.0000615562092740,-0.0001670984787147
260.0000000,1.422728E+01,2.025217E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-4.4693129577909687,-3.0972552741635426,0.1128715488066178,0.0042109853400490,-0.0058517274070336,-0.0000699170422002
270.0000000,1.422728E+01,1.460877E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-5.1869032646640898,1.5576482983825530,0.1095918645962211,-0.0022621036271777,-0.0068773474255798,0.0000791854846933
280.0000000,1.422728E+01,8.965377E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-1.7382987264452165,4.9144420214863906,0.0184816021390297,-0.0072112895872291,-0.0021608674308266,0.0001703363611867
290.0000000,1.422728E+01,3.321983E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,3.1626406949490993,3.8626270311881918,-0.0868127606141650,-0.0059344293002881,0.0051454503433258,0.0001114147731460
300.0000000,1.422728E+01,3.367859E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.8720760375284993,-0.9764482888972252,-0.1049615885299487,0.0013923709258490,0.0077659131713282,-0.0000634154221892
310.0000000,1.422728E+01,2.803519E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,1.6833670728217847,-4.8865421746221056,-0.0173683455351652,0.0070500554331244,0.0028189362551036,-0.0001694622035015
320.0000000,1.422728E+01,2.239180E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-3.1354906212552529,-4.3844844568027028,0.0883730501295562,0.0060524238390217,-0.0040373073820170,-0.0001186582597797
330.0000000,1.422728E+01,1.674841E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-5.4428399805383414,-0.2715220963033918,0.1229171054775584,0.0002860754130886,-0.0071870608034815,0.0000234538831546
340.0000000,1.422728E+01,1.110501E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-3.4362986312448656,4.0397923369891631,0.0601094173468750,-0.0058432445151597,-0.0045369174618179,0.0001495950652266
350.0000000,1.422728E+01,5.461618E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,1.4308759918525393,4.8565045772406981,-0.0521913025470784,-0.0073357819078176,0.0024945832392058,0.0001537832206045
360.0000000,1.422728E+01,3.581822E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.8341673422298834,1.0469972806342076,-0.1125187538981056,-0.0016899149413567,0.0077420491848854,0.0000056530580766
370.0000000,1.422728E+01,3.017483E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,3.3340541907126457,-3.8288597627759597,-0.0586978076346509,0.0056044696683515,0.0053199403069612,-0.0001475049141417
380.0000000,1.422728E+01,2.453143E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-1.4135009001386649,-5.1266629827101999,0.0529247573581628,0.0071903169279240,-0.0016507708279804,-0.0001540334951748
390.0000000,1.422728E+01,1.888804E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-5.0447856927995476,-2.0684485664249679,0.1214746765351471,0.0027744565703640,-0.0066319719015602,-0.0000345320753737
400.0000000,1.422728E+01,1.324465E+02,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-4.6882841351022586,2.6377447952222139,0.0939480125162168,-0.0037932617831316,-0.0062261672528968,0.0001107417309137
410.0000000,1.422728E+01,7.601252E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,-0.5166786651336936,5.1263546167289178,-0.0097337030048703,-0.0076057323359981,-0.0003987325571467,0.0001718425028089
420.0000000,1.422728E+01,1.957858E+01,5.20194,0.048935,1.3037,273.7103,100.5170,9.547919E-04,4.0247024726048553,2.9032270021854805,-0.1021169319554098,-0.0045092145818319,0.0064860506645364,0.0000739552466285
