Time,long,M,a,e,i,peri,node,mass,x,y,z,vx,vy,vz
0.0000000,3.223809E+02,2.418991E+02,5.31563,0.021246,18.1171,340.3693,342.0117,0.000000E+00,-4.9209615743806534,-1.8624531923113161,-1.0767920369152630,0.0029966941484218,-0.0065240513720646,-0.0017274166674331
10.0000000,3.225054E+02,1.742451E+02,5.35535,0.023656,18.0894,340.6160,341.8894,0.000000E+00,-4.0452390434303291,3.6289906940764718,0.7159202598534047,-0.0048614452064876,-0.0049905925529230,-0.0020430192341176
20.0000000,3.212290E+02,1.061966E+02,5.35860,0.023938,18.0846,339.3407,341.8883,0.000000E+00,1.7598117390068899,4.8196114810501314,1.6745263816047791,-0.0068814568433039,0.0026574357784221,0.0001262192064925
30.0000000,3.221951E+02,3.645515E+01,5.34087,0.024093,18.1013,340.3005,341.8947,0.000000E+00,5.2129333652958287,-0.0476510118314162,0.5147329075727869,-0.0000443158952888,0.0072470225872836,0.0022470820564803
40.0000000,3.215869E+02,3.301686E+02,5.31185,0.024952,18.1232,339.6742,341.9127,0.000000E+00,1.8655031882212596,-4.6829283810764064,-1.2674100889426807,0.0070443119527972,0.0025086240584147,0.0014962982053377
50.0000000,3.186989E+02,2.687605E+02,5.27794,0.025114,18.1589,336.7870,341.9120,0.000000E+00,-3.6907963847875065,-3.4870586572298152,-1.4630434768751812,0.0054324650912874,-0.0050385559287638,-0.0010177163456114
60.0000000,3.166922E+02,2.094200E+02,5.24138,0.024076,18.1899,334.8170,341.8752,0.000000E+00,-5.1603411070447631,1.4169174788438361,-0.0850082865398908,-0.0017333851263665,-0.0067723474169541,-0.0022920784469680
70.0000000,3.175025E+02,1.503593E+02,5.20378,0.022788,18.2193,335.6446,341.8579,0.000000E+00,-1.8045688101379589,4.8134059022889408,1.3206515155164746,-0.0069416771806948,-0.0021340303829832,-0.0013789716963899
80.0000000,3.205000E+02,9.228835E+01,5.16689,0.022166,18.2567,338.6606,341.8394,0.000000E+00,2.8659329483813893,4.0176722931343125,1.5540019202648541,-0.0061545092160858,0.0043258207405299,0.0007231291055710
90.0000000,3.233953E+02,3.752668E+01,5.13182,0.022606,18.2904,341.5895,341.8058,0.000000E+00,5.0077357552515620,0.1373852578134513,0.5599636639731722,-0.0003482980222431,0.0073771327141832,0.0022805259630012
100.0000000,3.234515E+02,3.487422E+02,5.10016,0.023633,18.3152,341.6508,341.8007,0.000000E+00,3.3505156417761746,-3.6023046136918908,-0.7863740809463261,0.0056935767902015,0.0048828732297642,0.0021240639911249
110.0000000,3.204614E+02,3.058685E+02,5.07441,0.023913,18.3415,338.6432,341.8182,0.000000E+00,-0.4395465051735609,-4.7423977107550526,-1.5391836635595351,0.0076856012662973,-0.0007347066097236,0.0005636361618710
